,date,id,tweet,cluster,class
17,Sat Nov 30 20:07:58 +0000 2019,72898202,"#Fremont Southbound Hwy 880 before Mowry Ave., solo vehicle accident moved to the right shoulder. Traffic backed up over one mile from the scene. #KCBSTraffic #Waze",1,1
12,Sat Nov 30 21:22:00 +0000 2019,72898202,"#SanFrancisco Southbound Hwy 101 at Cesar Chavez offramp, big rig vehicle blocking the offramp. #KCBSTraffic",1,1
0,Sat Nov 30 23:37:58 +0000 2019,72898202,#Update #SanJose Only the left lane is open until they remove the tree from the hwy... No ETO...,1,0
1,Sat Nov 30 23:30:15 +0000 2019,72898202,#SanJose 880 NB tree down blocking the right lane before Bascom ave... Heavy traffic from Hwy 280 #Waze #KCBSTraffic,0,1
2,Sat Nov 30 23:06:51 +0000 2019,72898202,#Oakland 880 SB Crash past Jackson st blocking the left lane. Slow from after Hwy 980 #Waze #KCBSTraffic,0,1
3,Sat Nov 30 22:56:35 +0000 2019,72898202,"#SanFrancisco 101 NB Stalled Truck past Cesar Chavez st blocking the right lane, slow from Hwy 280... Crash on EB 80 before 7th st on RHS slow to the lower deck of the #BayBridge #Waze #Oakland #KCBSTraffic",0,1
4,Sat Nov 30 22:47:03 +0000 2019,72898202,#Update #SanJose 87 NB before Hwy 101 All Lanes Now Open... Traffic is starting to move. #KCBSTraffic,1,0
5,Sat Nov 30 22:27:09 +0000 2019,72898202,"#Update #SanJose 87 NB Left lane is now open, the 3 right lanes remain blocked. Heavy from before Skyport dr. #KCBSTraffic",0,1
6,Sat Nov 30 22:16:33 +0000 2019,72898202,#LosGatos 17 SB Crash just past Big Moody Curve with a truck on it's side blocking the right lane. Heavy Traffic backing up. #SantaCruz #KCBSTraffic,0,1
7,Sat Nov 30 22:05:29 +0000 2019,72898202,#SanJose 87 NB Crash before Hwy 101 blocking all lanes... starting to back up from before Airport Pkwy. #Waze #SanJoseInternational #Airport #KCBSTraffic,0,1
