,date,id,tweet,cluster
0,Thu Oct 31 23:44:14 +0000 2019,72898202,"#SantaCruzMtns #Hwy17 southbound near #Glenwood, all lanes open - the crash has been cleared. #KCBSTraffic",0
1,Thu Oct 31 23:42:34 +0000 2019,72898202,#WalnutCreek #Hwy24 eastbound is very slow to the Walnut Creek interchange from 580 in #Oakland. #WAZE #KCBSTraffic,0
2,Thu Oct 31 22:58:45 +0000 2019,72898202,"#Lathrop #I5 northbound at #Hwy120, the 3 right lanes are blocked because of a crash involving a big rig and a car. Traffic is backed up through #Tracy on #I205 eastbound. #WAZE #KCBSTraffic",1
3,Thu Oct 31 22:52:08 +0000 2019,72898202,"#Hwy17 southbound before Glenwood Drive, in the #SantaCruzMtns , a head-on crash is blocking both southbound lanes. Traffic is diverted off at Summit Rd. Northbound 17 left lane blocked across from the crash, #KCBSTraffic",1
4,Thu Oct 31 22:08:07 +0000 2019,72898202,#SanJose Police activity has shut down the area of #JacksonAvenue and #McKeeRoad. #KCBSTraffic,0
5,Thu Oct 31 21:44:29 +0000 2019,72898202,"#Livermore #580 eastbound after #NorthFlynnRoad, a crash is blocking the left lane and traffic is backed up to #GreenvilleRd. #WAZE #KCBSTraffic",1
6,Thu Oct 31 21:38:41 +0000 2019,72898202,"#Oakland #580 eastbound near 35th, a crash is blocking the left lane. #WAZE #KCBStraffic",1
7,Thu Oct 31 20:39:21 +0000 2019,72898202,"#Hwy17 northbound before the Summit, a crash involving a car and a motorcycle is blocking the right lane. #KCBSTraffic",1
8,Thu Oct 31 20:00:00 +0000 2019,72898202,The Trump Administration now has some automakers backing its plans to prevent #California from setting its own vehicle admissions standards.@KCBSRadio @MeganGoldsby breaks down who is on each side,0
9,Thu Oct 31 19:44:03 +0000 2019,72898202,"#SanJose: NB I-280 on the off-ramp to Saratoga Ave, injury crash has caused CHP to shut down the ramp. #TrafficAlert in effect, no ETO. Hardly any slowing on the freeway - just use Stevens Creek Blvd ramp instead. #KCBSTraffic #Waze",0
10,Thu Oct 31 19:21:00 +0000 2019,72898202,"#Novato to #Petaluma traffic is awful: NB Hwy-101 gears down just north of Atherton Ave, stays mostly solid until you’re past East Washington St in #Petaluma. Guardrail repair work there isn’t blocking lanes but is drawing attention. #KCBSTraffic #Waze",1
11,Thu Oct 31 19:00:00 +0000 2019,72898202,Reservoirs in #Lafayette and #SanPablo are back open after being closed this week because of high fire danger. @KCBSRadio @CarrieHodousek spoke to park goers in Lafayette,0
12,Thu Oct 31 18:51:47 +0000 2019,72898202,"#East of Rodeo: Eastbound I-80 between Willow Ave &amp; Cummings Skyway, CHP has closed the right lane due to a 300-foot-long spill of diesel fuel. Only minor slowing so far, but a Special #TrafficAlert has been issued, so it bears watching. #KCBSTraffic #Waze",0
13,Thu Oct 31 18:06:34 +0000 2019,72898202,Earlier crash is long gone but the traffic is not. Very slow northbound 101 from #Novato into #Petaluma. #KCBSTraffic #Waze,0
14,Thu Oct 31 17:11:13 +0000 2019,72898202,#Petaluma northbound 101 after East Washington a crash was blocking the right lane. Looks like its been cleared but traffic is stopped trying to get into town. #KCBSTraffic #Waze,1
15,Thu Oct 31 17:01:55 +0000 2019,72898202,Tree trimming is back in the #SantaCruzMountains. Northbound 17 has the right lane blocked again from Big Moody Curve to the reservoir. #KCBSTraffic,1
16,Thu Oct 31 16:56:32 +0000 2019,72898202,A crash in #Berkeley westbound 80 before University has been cleared to the right shoulder. Traffic is stacked up into #Richmond. #KCBSTraffic #Waze,0
17,Thu Oct 31 16:04:54 +0000 2019,72898202,The Trump Administration now has some automakers backing its plans to prevent #California from setting its own vehicle admissions standards.@KCBSRadio @MeganGoldsby breaks down who is on each side. https://kcbsradio.radio.com/media/audio-channel/automakers-side-trump-limiting-ca-auto-emissions-standards,0
