date,id,tweet
Tue Dec 31 23:30:37 +0000 2019,72898202,"#Richmond #I80 eastbound at #HilltopDrive, a 4 car crash is blocking the 2 left lanes. #WAZE #KCBSTraffic"
Tue Dec 31 23:21:03 +0000 2019,72898202,"#DalyCity #I280 southbound at #Hickey, a crash is blocking the left lane. Just after that, 280 southbound at #Westborough, a crash is blocking the 2 right lanes. #WAZE #KCBSTraffic"
Tue Dec 31 22:55:00 +0000 2019,72898202,Higher Frequency Public Transit Coming To South Bay In 2020.
Tue Dec 31 22:07:59 +0000 2019,72898202,"#Berkeley #I80 westbound at #UniversityAve, a crash is blocking the off ramp. #WAZE #KCBSTraffic"
Tue Dec 31 21:54:00 +0000 2019,72898202,"#Uber, #Postmates Sue Over State's New Labor Law."
Tue Dec 31 21:52:56 +0000 2019,72898202,"#Fremont #I680 northbound, driving to the #SunolGrade , traffic is slow from before #AutoMall to #WashingtonBlvd. #WAZE #KCBSTraffic"
Tue Dec 31 20:48:47 +0000 2019,72898202,"#CastroValley: EB I-580 at Crow Canyon Rd, accident involving 2 big rigs &amp; a pickup truck has the right lane blocked. Injuries are minor, but EB I-580 is solid from I-238 (2.5 miles). #KCBSTraffic #Waze"
Tue Dec 31 19:52:12 +0000 2019,72898202,"Westbound #RichmondSanRafaelBridge update: Stalled box truck WAS in the left lane about 3/4 of a mile past the toll plaza, now being pushed off. Residual slowing of 2.2 miles, starts just west of Richmond Parkway. #KCBSTraffic #Waze"
Tue Dec 31 19:32:15 +0000 2019,72898202,"Westbound #RichmondSanRafaelBridge about 3/4 of a mile past the toll plaza, a stalled box truck blocks the left lane. Traffic slows dramatically after Canal Blvd, before Stenmark Drive, stays slow out to the scene. #KCBSTraffic #Waze"
Tue Dec 31 19:08:44 +0000 2019,72898202,Wondering about riding #SMARTTrain after tonight (New Year’s Eve) when the agency’s Temporary Schedule ends? All is in readiness for the new year:
Tue Dec 31 18:55:00 +0000 2019,72898202,Higher Frequency Public Transit Coming To South Bay In 2020 https://kcbsradio.radio.com/articles/vta-has-bold-transit-goals-for-south-bay-in-2020
Tue Dec 31 18:39:56 +0000 2019,72898202,Best place to watch the midnight fireworks show in #SanFrancisco is on the waterfront just south of the #FerryBuilding. One place that's not such a good choice:
Tue Dec 31 18:25:42 +0000 2019,72898202,#SanFrancisco’s Marina/Cow Hollow neighborhood: Traffic on Lombard Street remains jammed between Pierce and Steiner Streets – and Steiner Street is jammed between Lombard &amp; Chestnut – due to an accident involving a vehicle that struck a light pole. Avoid the area. #KCBSTraffic
Tue Dec 31 17:52:38 +0000 2019,72898202,#SanFrancisco’s Marina/Cow Hollow neighborhood: Traffic on Lombard Street is backing up for a couple of blocks in either direction approaching Steiner Street and we’ve got an as-yet-unconfirmed report of an accident in that area. #KCBSTraffic
Tue Dec 31 17:34:09 +0000 2019,72898202,"#Uber, #Postmates Sue Over State's New Labor Law https://kcbsradio.radio.com/articles/ap-news/uber-postmates-sue-over-california-gig-worker-law"
Tue Dec 31 16:56:01 +0000 2019,72898202,"Look at all that green, trouble-free traffic! Won’t be like that tonight, of course. Which is why the CHP will have their Maximum Enforcement Program in place from 6pm tonight to 11:59pm on New Year’s Day. Officers out looking for drunk drivers, speeders, etc. #KCBSTraffic #Waze"
Tue Dec 31 16:30:37 +0000 2019,72898202,"After tonight’s midnight #SanFrancisco fireworks show, the last #Caltrain will pull out of the City at 2am, making all local stops to San Jose. To see how late revelers can party in San Jose &amp; still catch a VTA train or bus home (or to BART), go to VTA’s Service Alerts webpage."
Tue Dec 31 15:53:34 +0000 2019,72898202,Trains on #CapitolCorridor running as much as an hour-&amp;-45 minutes behind schedule due to this morning’s train-pedestrian incident. #KCBSTraffic
Tue Dec 31 15:47:45 +0000 2019,72898202,"Update: Westbound #RichmondSanRafaelBridge before the west end of the span, TWO 2-vehicle accidents have both been cleared. But traffic is now solid from a half-mile or so before the Richmond toll plaza to about a mile-&amp;-a-half out on the span. #KCBSTraffic #Waze"
Tue Dec 31 15:29:32 +0000 2019,72898202,"Unlike #Muni, #Caltrain, #SamTrans, #ACTransit, where travel will be free tonight from 8pm-5am, service on #BART (till 3am) is NOT fare-free. Do visit BART’s website before going to SF, because BART has a plan for which station you’ll need to disembark at (and get back on at)."
Tue Dec 31 15:09:14 +0000 2019,72898202,"Westbound #RichmondSanRafaelBridge before the west end of the span, TWO 2-vehicle accidents. First crash blocks the right lane, second blocks the left lane. Traffic solid for 1.3 miles. #KCBSTraffic #Waze"
Tue Dec 31 14:53:52 +0000 2019,72898202,"#CapitolCorridor update: Sacramento-bound Train 520 is terminated north of Richmond due to a “trespasser incident”. When tracks reopen, Train 522 will take on 520’s passengers. San Jose-bound Train 531 canceled as well. Passengers will have their tickets honored on Train 535."
Tue Dec 31 14:38:47 +0000 2019,72898202,#CapitolCorridor says Sacramento-bound Train 520 is stopped north of Richmond due to a “trespasser incident” and San Jose-bound Train 521 was delayed leaving Martinez due to “police activity ahead” but is now moving again. No further details.
Tue Dec 31 14:01:01 +0000 2019,72898202,#Oakland: NB I-880 before 29th Ave: Crash involving a car and a pickup truck that lost a bunch of big metal cylinders (oxygen tanks?) is blocking the 2 left lanes. #TrafficAlert issued. Solid backup from the Coliseum so far (1.6 miles). #KCBSTraffic #Waze
Tue Dec 31 13:53:12 +0000 2019,72898202,You may run into a ten-minute delay if you're on #BART heading to Richmond or Daly City:
Tue Dec 31 13:27:48 +0000 2019,72898202,Reminder to ACE Train riders; Only 2 trains running this morning and the same thing applies this afternoon:
Tue Dec 31 12:53:58 +0000 2019,72898202,#SanPablo Westbound #I80 before San Pablo Dam Rd. Two car crash is blocking the second lane from the left. Traffic is heavy from almost Hilltop Rd in #Richmond. #KCBSTraffic
Tue Dec 31 12:03:52 +0000 2019,72898202,#WalnutCreek Northbound #I680 before N. Main St. Wood debris in the three right lanes. #KCBSTraffic
Tue Dec 31 11:15:44 +0000 2019,72898202,#CastroValley Westbound #I580 before Eden Canyon Rd. Accident has CLEARED. #KCBSTraffic
Tue Dec 31 10:01:23 +0000 2019,72898202,#CastroValley Westbound #I580 before Eden Canyon Rd. Accident involving 4 cars is blocking ALL lanes of traffic. There's also debris in the roadway. #KCBSTraffic
Tue Dec 31 09:50:48 +0000 2019,72898202,#CastroValley Westbound #I580 before Eden Canyon Rd. Accident involving 4 cars is blocking traffic. There's also debris in the roadway. #KCBSTraffic
Tue Dec 31 08:00:22 +0000 2019,72898202,#BayBridge Westbound #I80 past the Treasure Island exit. CHP running a traffic break so they can safely clear a stall off the bridge. #KCBSTraffic
Tue Dec 31 07:25:32 +0000 2019,72898202,#BayBridge Eastbound #I80 before the Toll Plaza. All lanes are now clear. #KCBSTraffic
Tue Dec 31 07:12:29 +0000 2019,72898202,#BayBridge Eastbound #I80 before the Toll Plaza. All lanes are being held so a tow truck can safely hook up a bus. #KCBSTraffic
Tue Dec 31 06:51:08 +0000 2019,72898202,#CarquinezBridge has a 3-vehicle accident mid-span. Trafic is slow from #Crockett. #KCBSTraffic
Tue Dec 31 02:48:51 +0000 2019,72898202,#Oakland #I880 northbound past #66thAvenue a crash is blocking the middle lanes. Northbound traffic is bumper-to-bumper from #Davis. The CHO gas issued a sever traffic alert. #I580 is your best alternate. #KCBSTraffic
Tue Dec 31 02:43:49 +0000 2019,72898202,#CarquinezBridge There is a stall eastbound right before the toll plaza blocking the right lane. #I80 is open but traffic remains backed up from #Hwy4. #KCBSTraffic
Tue Dec 31 02:10:28 +0000 2019,72898202,#SanLeandro A 3-car crash is blocking the left lane #I880 southbound before #Marina. #KCBSTraffic
Tue Dec 31 02:08:46 +0000 2019,72898202,#Martinez #Hwy4 eastbound past #CummingsSkyway there is a car that went off the right side of the road and is hanging off the side of a cliff. Traffic is moving slowly from the golf course. #KCBSTraffic
Tue Dec 31 01:56:34 +0000 2019,72898202,We just learned that the TWO right lanes are blocked. Traffic is crawling from #MarinCity. #KCBSTraffic
Tue Dec 31 01:54:33 +0000 2019,72898202,#Vallejo Good news! All lanes of #I80 have reopened in both directions at #MagazineStreet. #KCBSTraffic
Tue Dec 31 01:42:06 +0000 2019,72898202,Westbound traffic on the #BayBridge is moving at the speed limit from the toll plaza to #FremontStreet. But now there's a non-injury motorcycle crash on #I80 westbound before 9th Street. The left lane is blocked. #KCBSTraffic
Tue Dec 31 01:09:43 +0000 2019,72898202,This crash was just moved to the right shoulder.
Tue Dec 31 01:08:38 +0000 2019,72898202,"#Milpitas There's a 2-car crash on #Hwy237 eastbound at #Zanker. One car on the right shoulder, the other blocking the 2nd lane from the left. #KCBSTraffic"
Tue Dec 31 00:59:46 +0000 2019,72898202,All northbound roads through #ThePresdio of SanFrancisco are jammed with traffic heading to the #GoldenGateBridge. Private vehicles are NOT allowed to park at the vista points between 11am and 5pm through Wednesday January 1st. #KCBSTraffic
Tue Dec 31 00:49:24 +0000 2019,72898202,UPDATE: The westbound lanes of #I80 are now cvlosed at #MagazineStreet and eastbound lanes remain closed.
Tue Dec 31 00:32:59 +0000 2019,72898202,Looks like this one has been cleared.
Tue Dec 31 00:26:01 +0000 2019,72898202,#Marin A rockslide on #Hwy101 southbound at #Spencer. The right lane is shut down until the boulder can be moved. #KCBSTraffic
Tue Dec 31 00:24:23 +0000 2019,72898202,#Marin There's an accident blocking the left lanes on #Hwy101 northbound before #NorthSanPedro. Traffic is jammed from #CorteMadera. #KCBSTraffic
Tue Dec 31 00:13:48 +0000 2019,72898202,#Vacavile A 5-vehicle crash is blocking the left lanes on #I80 westbound before #CherryGlen. Traffic is jammed up from before #I505. #KCBSTraffic
