,date,id,tweet,closed
1,Wed Feb 19 23:21:36 +0000 2020,72898202,Fairfield 80 eastbound past SuisunValleyRoad past the TruckScales a big rig fire is on the right shoulder but the fire dept is blocking the right lane  ,True
4,Wed Feb 19 22:23:45 +0000 2020,72898202,SanFrancisco 101 northbound past CesarChavez a crash is blocking the 2 left lanes  KCBSTRaffic,True
5,Wed Feb 19 21:59:59 +0000 2020,72898202,Dixon 80 westbound b4 MidwayRoad a crash is blocking the left lane  KLCBSTraffic,True
10,Wed Feb 19 20:05:48 +0000 2020,72898202,Slowest traffic in the BayArea continues to be southbound 17 in the SantaCruzMountains Right lane is blocked from Idylwild to the summit In ScottsValley the right lane is blocked southbound from Mt Hermon to Sims  ,True
16,Wed Feb 19 18:20:33 +0000 2020,72898202,Slow traffic again in the SantaCruzMountains with landscaping southbound 17 between Idylwild and the summit in the right lane There is also slow traffic in ScottsValley as road work has the right lane blocked southbound 17 from Mt Hermon to Sims  ,True
22,Wed Feb 19 16:52:10 +0000 2020,72898202,CorteMadera The southbound 101 crash Madera Blvd is affecting the WBRichmondBridge from mid span  ,True
24,Wed Feb 19 16:23:02 +0000 2020,72898202,CorteMadera An accident southbound at Madera Blvd has us backed up to SanRafael  ,True
25,Wed Feb 19 16:04:22 +0000 2020,72898202,Hayward An accident SB880 Tennyson has been moved to the shoulder still slow past the scene  ,True
30,Wed Feb 19 14:55:22 +0000 2020,72898202,Hayward Both directions of Winton Avenue are closed at Clawiter in the wake of an investigation into a shooting at the intersection  ,True
40,Wed Feb 19 13:25:44 +0000 2020,72898202,PachecoPass Highway156 Westbound 152 past the 156 split A crash involving an overturned big rig amp as many as eight other vehicles blocks the Westbound lane Emergency crews are on scene  ,True
42,Wed Feb 19 12:56:50 +0000 2020,72898202,BayBridge Highway80 A stall now blocks the far right lane of Westbound 80 on the Bay Bridge just past the Tunnel Traffic is starting to slow at the scene  ,True
46,Wed Feb 19 09:42:55 +0000 2020,72898202,Pleasanton Highway680 The far right lane of Northbound 680 has just now re opened but all other Northbound lanes remain closed as does the left lane Southbound ,True
47,Wed Feb 19 09:17:15 +0000 2020,72898202,Pleasanton Highway680 The two right lanes of Southbound 680 past Stoneridge Drive have now re opened in the wake of a crash related closure All Northbound lanes remain closed ,True
48,Wed Feb 19 09:13:52 +0000 2020,72898202,PaloAlto Highway280 All Northbound lanes of 280 are shut down before Page Mill Rd in the wake of a crash involving a wrong way driver ,True
49,Wed Feb 19 08:53:29 +0000 2020,72898202,Pleasanton Highway680 All lanes in both directions of Highway 680 south of Stoneridge Drive are blocked by a crash triggered by a wrong way driver in Northbound lanes ,True
50,Wed Feb 19 08:32:49 +0000 2020,72898202,BayBridge Highway80 Several lanes have re opened the left lane remains closed ,True
51,Wed Feb 19 08:24:12 +0000 2020,72898202,BayBridge Highway80 The Treasure Island offramp from Eastbound 80 on the Bay Bridge is now shut down as crews tend to a crash involving a car that hit the barrier ,True
55,Wed Feb 19 01:06:56 +0000 2020,72898202,SanJose 101 southbound before I280 a crash involving an overturned car has a pair of lanes blocked including the 2nd from the left   SJ,True
57,Wed Feb 19 00:52:02 +0000 2020,72898202,WalnutCreek 680 northbound before Hwy 24 a crash involving a motorcycle has the left lane blocked Emergency crews are heading to the scene Expect this crash to add to the already heavy delays leaving the SanRamon Valley on 680 northbound  ,True
109,Wed Feb 19 18:19:23 +0000 2020,2466271932,Immediately after a CarAccident you may be overwhelmed Whether you are minutes post accident or a few days down the road knowing what to do can save you time and money See our recommendations on what to do if you are involved in a car accident,True
129,Wed Feb 19 16:43:36 +0000 2020,168759320,When a road municipal infrastructure is closed for repair on the way to our favorite avocado toast joint we don t blame the avocado toast joint for locating themselves near that roadway,True
141,Wed Feb 19 15:57:38 +0000 2020,254873442,Wow hardware 3 is so much better at figuring out road splines Very smooth Then it blocked the lane of a flat bed truck who patiently waited for us,True
149,Wed Feb 19 14:15:18 +0000 2020,1104150794914344960,Same tent encampments Still partially blocking the road More poop and graffiti in the street Mission Dolores D9 https mobile311 sfgov org reports 12103536,True
166,Wed Feb 19 07:31:55 +0000 2020,1025625596003401730,4 to the left amd god knows we could have flipped ans been killed in a high speed accident All because he got too impatient I m downright furious This driver os a danger to others If you know who it was get them off the road He nearly killed me and my daughter,True
171,Wed Feb 19 07:00:20 +0000 2020,1100725849358303235,9 car Pile Up crash on Dubai s Sheikh Zayed Road BREAKING NEWS DUBAI Dubai BREAKING,True
